#temp	250-600	Total
10	290075.0	290075.0
20	386965.0	386965.0
30	341585.0	341585.0
40	318403.5	318403.5
50	377677.5	377677.5
60	361093.5	361093.5
70	366712.0	366712.0
80	319614.5	319614.5
90	313088.5	313088.5
100	334484.5	334484.5
110	307835.5	307835.5
120	340928.0	340928.0
130	370304.5	370304.5
140	341444.0	341444.0
150	310997.0	310997.0
160	321694.0	321694.0
170	326910.0	326910.0
180	301118.5	301118.5
190	305569.5	305569.5
200	306020.0	306020.0
210	323529.5	323529.5
220	343388.5	343388.5
230	282316.0	282316.0
240	320526.0	320526.0
250	301738.5	301738.5
260	292746.5	292746.5
270	262080.5	262080.5
280	296821.0	296821.0
290	248251.0	248251.0
300	237348.0	237348.0
310	311456.5	311456.5
320	223510.0	223510.0
330	296425.5	296425.5
340	218842.5	218842.5
350	262860.0	262860.0
