$itime = 500
$wv_start = 190.0
$hv = 1000
$grating = 2 1200 g/mm BLZ= 500  nm
$x_amps = 10
$x_volts = 45
$sample = DB2330_010
$date = 2023-07-03
$temp = 24.75
$wv_stop = 800.0
$time = 19:45:19.363000
$wv_step = 1.0
\g(l) nm	10 K	20 K	30 K	40 K	50 K	60 K	70 K	80 K	90 K	100 K	110 K	120 K	130 K	140 K	150 K	160 K	170 K	180 K	190 K	200 K	210 K	220 K	230 K	240 K	250 K	260 K	270 K	280 K	290 K	300 K	310 K	320 K	330 K	340 K	350 K	
190.0	377.0	867.0	1440.0	789.0	802.0	302.0	1278.0	554.0	761.0	628.0	440.0	1207.0	1269.0	811.0	1045.0	403.0	342.0	442.0	589.0	107.0	840.0	944.0	571.0	572.0	778.0	37.0	602.0	591.0	470.0	155.0	636.0	730.0	1040.0	171.0	907.0	
191.0	621.0	1235.0	821.0	709.0	930.0	786.0	832.0	767.0	426.0	1003.0	542.0	1062.0	1003.0	681.0	769.0	457.0	268.0	78.0	701.0	793.0	697.0	677.0	479.0	851.0	671.0	1200.0	1012.0	756.0	786.0	218.0	765.0	432.0	996.0	503.0	509.0	
192.0	420.0	1137.0	919.0	481.0	408.0	517.0	769.0	798.0	469.0	160.0	742.0	876.0	612.0	899.0	1176.0	0.0	941.0	384.0	875.0	809.0	311.0	920.0	614.0	430.0	846.0	889.0	964.0	687.0	367.0	619.0	553.0	799.0	701.0	387.0	804.0	
193.0	432.0	693.0	843.0	390.0	1319.0	784.0	477.0	628.0	668.0	878.0	871.0	587.0	1195.0	519.0	182.0	782.0	405.0	432.0	903.0	594.0	945.0	991.0	850.0	1088.0	279.0	574.0	485.0	745.0	463.0	201.0	948.0	701.0	1390.0	610.0	706.0	
194.0	258.0	738.0	622.0	1202.0	237.0	1209.0	1016.0	565.0	469.0	1148.0	860.0	1243.0	764.0	914.0	958.0	612.0	541.0	785.0	372.0	781.0	842.0	955.0	567.0	317.0	380.0	937.0	655.0	1042.0	720.0	956.0	1386.0	839.0	715.0	553.0	795.0	
195.0	854.0	1211.0	1169.0	566.0	548.0	801.0	929.0	509.0	668.0	773.0	980.0	473.0	1041.0	1102.0	422.0	742.0	739.0	569.0	551.0	773.0	455.0	883.0	523.0	514.0	492.0	726.0	595.0	877.0	595.0	496.0	554.0	913.0	798.0	502.0	1163.0	
196.0	494.0	787.0	687.0	1301.0	985.0	1017.0	787.0	389.0	309.0	829.0	624.0	481.0	637.0	774.0	358.0	130.0	807.0	846.0	253.0	651.0	1113.0	760.0	415.0	462.0	293.0	830.0	816.0	623.0	452.0	651.0	638.0	644.0	1027.0	209.0	663.0	
197.0	827.0	1197.0	725.0	595.0	1209.0	811.0	682.0	289.0	500.0	791.0	307.0	1025.0	961.0	305.0	972.0	711.0	276.0	124.0	1197.0	118.0	649.0	898.0	631.0	724.0	978.0	758.0	707.0	874.0	486.0	826.0	503.0	867.0	1002.0	588.0	112.0	
198.0	75.0	1147.0	557.0	584.0	1078.0	753.0	962.0	413.0	1113.0	640.0	884.0	506.0	652.0	544.0	799.0	368.0	300.0	592.0	1042.0	689.0	898.0	906.0	849.0	1107.0	235.0	1102.0	554.0	527.0	1018.0	504.0	548.0	600.0	474.0	895.0	257.0	
199.0	923.0	1125.0	280.0	724.0	1032.0	1204.0	1188.0	722.0	158.0	963.0	471.0	458.0	453.0	758.0	785.0	948.0	23.0	554.0	598.0	611.0	816.0	589.0	667.0	414.0	126.0	708.0	1246.0	788.0	678.0	648.0	1136.0	654.0	1026.0	376.0	478.0	
