#temp	250-600	Total
10	460307.5	460307.5
20	350231.0	350231.0
30	335944.0	335944.0
40	364639.0	364639.0
50	351972.5	351972.5
60	395065.5	395065.5
70	320730.5	320730.5
80	323967.0	323967.0
90	377593.5	377593.5
100	302122.0	302122.0
110	333160.5	333160.5
120	371823.5	371823.5
130	389831.0	389831.0
140	318586.5	318586.5
150	302366.0	302366.0
160	292561.5	292561.5
170	323944.5	323944.5
180	299691.5	299691.5
190	309287.0	309287.0
200	340460.0	340460.0
210	313832.0	313832.0
220	299872.5	299872.5
230	338109.5	338109.5
240	336507.0	336507.0
250	288779.0	288779.0
260	262149.0	262149.0
270	283515.0	283515.0
280	268885.5	268885.5
290	287990.0	287990.0
300	251451.5	251451.5
310	262168.0	262168.0
320	273071.0	273071.0
330	270623.0	270623.0
340	282862.5	282862.5
350	291224.5	291224.5
