$itime = 500
$wv_start = 190.0
$hv = 1000
$grating = 2 1200 g/mm BLZ= 500  nm
$x_amps = 10
$x_volts = 45
$sample = DB2339_010
$date = 2023-07-04
$temp = 529.0
$wv_stop = 800.0
$time = 18:18:29.612000
$wv_step = 1.0
\g(l) nm	10 K	20 K	30 K	40 K	50 K	60 K	70 K	80 K	90 K	100 K	110 K	120 K	130 K	140 K	150 K	160 K	170 K	180 K	190 K	200 K	210 K	220 K	230 K	240 K	250 K	260 K	270 K	280 K	290 K	300 K	310 K	320 K	330 K	340 K	350 K	
190.0	1932.0	1045.0	428.0	781.0	884.0	1324.0	661.0	738.0	984.0	387.0	1027.0	940.0	922.0	501.0	443.0	444.0	589.0	632.0	1089.0	499.0	983.0	660.0	584.0	1026.0	821.0	514.0	671.0	407.0	452.0	1131.0	669.0	691.0	989.0	1043.0	788.0	
191.0	1599.0	531.0	213.0	1148.0	868.0	785.0	335.0	529.0	1081.0	532.0	1142.0	968.0	418.0	808.0	788.0	503.0	196.0	767.0	774.0	480.0	393.0	309.0	1153.0	989.0	937.0	1215.0	796.0	249.0	771.0	544.0	667.0	817.0	963.0	841.0	676.0	
192.0	1087.0	1082.0	1109.0	1232.0	1083.0	982.0	592.0	476.0	687.0	542.0	1030.0	854.0	890.0	902.0	331.0	1183.0	1134.0	468.0	721.0	847.0	845.0	314.0	399.0	1173.0	1023.0	1125.0	125.0	816.0	588.0	742.0	496.0	773.0	753.0	899.0	977.0	
193.0	1331.0	921.0	561.0	1043.0	867.0	962.0	878.0	883.0	752.0	641.0	1079.0	1031.0	861.0	1464.0	0.0	580.0	218.0	401.0	402.0	487.0	183.0	876.0	761.0	1108.0	313.0	402.0	847.0	755.0	413.0	1002.0	865.0	356.0	392.0	573.0	1504.0	
194.0	1251.0	940.0	1668.0	788.0	838.0	633.0	764.0	834.0	501.0	923.0	698.0	931.0	1100.0	834.0	830.0	614.0	677.0	894.0	1019.0	1057.0	906.0	313.0	981.0	815.0	728.0	577.0	730.0	553.0	980.0	804.0	492.0	1005.0	880.0	434.0	1039.0	
195.0	1370.0	408.0	821.0	1019.0	1040.0	740.0	1038.0	670.0	577.0	495.0	365.0	904.0	900.0	1188.0	593.0	533.0	915.0	636.0	480.0	802.0	656.0	923.0	0.0	940.0	664.0	259.0	544.0	754.0	665.0	1040.0	673.0	175.0	614.0	1129.0	1162.0	
196.0	1259.0	634.0	227.0	877.0	452.0	660.0	938.0	685.0	876.0	222.0	707.0	1055.0	972.0	808.0	952.0	212.0	1264.0	786.0	679.0	1262.0	1256.0	646.0	642.0	224.0	480.0	809.0	1016.0	416.0	589.0	512.0	915.0	1050.0	489.0	516.0	891.0	
197.0	1091.0	187.0	243.0	774.0	851.0	1429.0	779.0	781.0	1162.0	1141.0	1347.0	922.0	1043.0	398.0	1106.0	1010.0	1145.0	884.0	806.0	811.0	889.0	681.0	307.0	568.0	627.0	812.0	675.0	1164.0	1016.0	313.0	857.0	1147.0	680.0	1080.0	591.0	
198.0	1086.0	1025.0	691.0	881.0	1138.0	968.0	783.0	878.0	1186.0	625.0	955.0	1060.0	1266.0	664.0	629.0	580.0	814.0	891.0	795.0	980.0	700.0	1044.0	703.0	590.0	988.0	337.0	577.0	426.0	760.0	873.0	465.0	1298.0	676.0	745.0	918.0	
199.0	1383.0	931.0	978.0	345.0	650.0	1026.0	1127.0	328.0	1157.0	503.0	592.0	858.0	1504.0	644.0	1123.0	368.0	989.0	595.0	968.0	830.0	668.0	951.0	1072.0	853.0	870.0	698.0	621.0	489.0	765.0	1117.0	492.0	679.0	237.0	466.0	790.0	
