#temp	600-750	Total
10	182205.5	182205.5
20	178421.5	178421.5
30	170507.0	170507.0
40	172212.5	172212.5
50	143989.0	143989.0
60	139739.0	139739.0
70	231503.0	231503.0
80	157544.5	157544.5
90	133017.5	133017.5
100	163298.5	163298.5
110	157490.5	157490.5
120	157453.5	157453.5
130	163013.5	163013.5
140	171912.5	171912.5
150	158279.5	158279.5
160	163304.0	163304.0
170	136105.0	136105.0
180	177348.0	177348.0
190	196541.5	196541.5
200	152232.0	152232.0
210	138391.5	138391.5
220	147621.0	147621.0
230	152339.0	152339.0
240	144049.5	144049.5
250	136669.0	136669.0
260	133129.0	133129.0
270	141402.0	141402.0
280	149629.5	149629.5
290	135917.5	135917.5
300	147450.5	147450.5
310	159157.5	159157.5
320	119807.5	119807.5
330	133474.0	133474.0
340	123919.0	123919.0
350	147340.0	147340.0
