$itime = 500
$wv_start = 190.0
$hv = 1000
$grating = 2 1200 g/mm BLZ= 500  nm
$x_amps = 10
$x_volts = 45
$sample = DB2340_010
$date = 2023-07-05
$temp = 25.08
$wv_stop = 800.0
$time = 20:36:10.574000
$wv_step = 1.0
\g(l) nm	10 K	20 K	30 K	40 K	50 K	60 K	70 K	80 K	90 K	100 K	110 K	120 K	130 K	140 K	150 K	160 K	170 K	180 K	190 K	200 K	210 K	220 K	230 K	240 K	250 K	260 K	270 K	280 K	290 K	300 K	310 K	320 K	330 K	340 K	350 K	
190.0	618.0	282.0	1183.0	778.0	792.0	1442.0	1545.0	898.0	450.0	1070.0	996.0	990.0	700.0	716.0	776.0	1428.0	963.0	1296.0	1488.0	1100.0	1110.0	798.0	1224.0	1016.0	860.0	915.0	382.0	339.0	802.0	740.0	654.0	1042.0	528.0	708.0	1243.0	
191.0	716.0	939.0	793.0	842.0	768.0	664.0	1539.0	1020.0	178.0	1411.0	1135.0	846.0	559.0	858.0	1268.0	1015.0	886.0	1126.0	1510.0	1232.0	626.0	884.0	523.0	1007.0	1048.0	503.0	375.0	610.0	1094.0	1239.0	713.0	1166.0	927.0	840.0	553.0	
192.0	1038.0	610.0	1074.0	756.0	509.0	1096.0	1313.0	502.0	373.0	1085.0	607.0	1377.0	1206.0	880.0	924.0	939.0	1186.0	978.0	1101.0	1488.0	231.0	702.0	829.0	509.0	522.0	970.0	822.0	235.0	924.0	730.0	1525.0	479.0	801.0	721.0	574.0	
193.0	1133.0	605.0	1013.0	933.0	524.0	606.0	1464.0	524.0	1050.0	1522.0	696.0	922.0	1340.0	0.0	1136.0	1507.0	565.0	1277.0	1349.0	1235.0	690.0	125.0	1019.0	448.0	658.0	395.0	822.0	559.0	915.0	404.0	752.0	673.0	997.0	608.0	1484.0	
194.0	697.0	1067.0	124.0	818.0	633.0	1241.0	2121.0	787.0	242.0	1453.0	709.0	550.0	79.0	870.0	453.0	983.0	1209.0	1780.0	1771.0	960.0	802.0	1018.0	987.0	966.0	611.0	894.0	984.0	863.0	503.0	1427.0	474.0	391.0	328.0	482.0	1071.0	
195.0	885.0	405.0	742.0	993.0	470.0	587.0	1120.0	818.0	554.0	613.0	1020.0	1282.0	666.0	887.0	0.0	1009.0	721.0	1701.0	1128.0	1228.0	796.0	138.0	1290.0	603.0	425.0	737.0	1108.0	1394.0	714.0	522.0	629.0	962.0	1084.0	893.0	1043.0	
196.0	426.0	945.0	936.0	587.0	1018.0	1202.0	1131.0	898.0	414.0	845.0	999.0	1211.0	1183.0	1265.0	1032.0	987.0	972.0	822.0	1454.0	472.0	772.0	1193.0	915.0	1339.0	441.0	882.0	545.0	942.0	1961.0	1321.0	681.0	1230.0	1147.0	797.0	1175.0	
197.0	832.0	1012.0	1391.0	956.0	548.0	761.0	356.0	900.0	618.0	799.0	1058.0	798.0	802.0	1295.0	962.0	910.0	997.0	1390.0	1035.0	1088.0	914.0	1310.0	544.0	410.0	347.0	933.0	901.0	740.0	439.0	680.0	782.0	411.0	1170.0	276.0	1198.0	
198.0	577.0	918.0	1400.0	435.0	718.0	1149.0	818.0	490.0	521.0	1035.0	682.0	762.0	1337.0	752.0	634.0	969.0	605.0	1118.0	957.0	1086.0	885.0	925.0	780.0	1392.0	556.0	248.0	391.0	278.0	1371.0	1043.0	198.0	501.0	336.0	1047.0	176.0	
199.0	959.0	743.0	644.0	260.0	1175.0	204.0	910.0	1166.0	1017.0	179.0	930.0	1098.0	905.0	719.0	875.0	1101.0	490.0	560.0	1027.0	845.0	493.0	843.0	553.0	509.0	496.0	332.0	518.0	1211.0	169.0	1192.0	1202.0	1044.0	789.0	1019.0	1158.0	
