#temp	400-640	Total
10	367205.0	367205.0
20	407274.5	407274.5
30	337327.0	337327.0
40	340179.0	340179.0
50	300731.0	300731.0
60	328356.0	328356.0
70	284253.5	284253.5
80	282953.5	282953.5
90	297617.5	297617.5
100	280721.5	280721.5
110	264595.5	264595.5
120	254544.0	254544.0
130	229447.0	229447.0
140	227963.0	227963.0
150	215515.5	215515.5
160	224168.0	224168.0
170	208560.0	208560.0
180	228559.5	228559.5
190	164381.0	164381.0
200	182588.0	182588.0
210	219165.0	219165.0
220	162556.5	162556.5
230	204350.0	204350.0
240	203061.0	203061.0
250	195048.0	195048.0
260	215344.0	215344.0
270	203845.5	203845.5
280	193215.5	193215.5
290	170974.5	170974.5
300	185375.0	185375.0
310	184860.0	184860.0
320	186708.5	186708.5
330	197227.5	197227.5
340	185738.0	185738.0
350	191130.0	191130.0
