#temp	400-600	Total
10	251107.0	251107.0
20	243575.5	243575.5
30	239125.0	239125.0
40	242738.5	242738.5
50	279868.0	279868.0
60	240136.0	240136.0
70	247433.0	247433.0
80	234619.5	234619.5
90	245196.5	245196.5
100	249973.5	249973.5
110	255900.0	255900.0
120	245156.5	245156.5
130	252688.0	252688.0
140	262876.0	262876.0
150	210273.5	210273.5
160	192977.5	192977.5
170	193834.0	193834.0
180	185552.0	185552.0
190	209809.5	209809.5
200	204179.0	204179.0
210	197315.5	197315.5
220	135975.5	135975.5
230	149452.5	149452.5
240	166480.5	166480.5
250	140368.0	140368.0
260	151738.0	151738.0
270	169711.5	169711.5
280	138206.5	138206.5
290	138701.0	138701.0
300	159838.5	159838.5
310	139415.0	139415.0
320	142298.0	142298.0
330	143525.0	143525.0
340	127008.0	127008.0
350	154239.5	154239.5
