$itime = 510
$wv_start = 190.0
$hv = 1000
$grating = 2 1200 g/mm BLZ= 500  nm
$x_amps = 10
$x_volts = 45
$sample = DB2333_012
$date = 2023-06-02
$temp = 24.57
$wv_stop = 800.0
$time = 22:08:34.337000
$wv_step = 1.0
\g(l) nm	10 K	20 K	30 K	40 K	50 K	60 K	70 K	80 K	90 K	100 K	110 K	120 K	130 K	140 K	150 K	160 K	170 K	180 K	190 K	200 K	210 K	220 K	230 K	240 K	250 K	260 K	270 K	280 K	290 K	300 K	310 K	320 K	330 K	340 K	350 K	
190.0	695.0	445.0	531.0	524.0	522.0	331.0	521.0	882.0	936.0	466.0	856.0	970.0	852.0	520.0	1065.0	285.0	506.0	767.0	760.0	479.0	779.0	404.0	579.0	1074.0	540.0	710.0	1076.0	339.0	364.0	1101.0	608.0	758.0	977.0	202.0	341.0	
191.0	876.0	677.0	674.0	342.0	885.0	343.0	867.0	625.0	436.0	810.0	604.0	677.0	825.0	551.0	653.0	335.0	249.0	682.0	709.0	759.0	875.0	434.0	1045.0	0.0	885.0	943.0	535.0	497.0	836.0	803.0	397.0	624.0	524.0	819.0	1202.0	
192.0	691.0	1518.0	743.0	407.0	453.0	257.0	508.0	358.0	1230.0	623.0	311.0	489.0	587.0	1428.0	921.0	571.0	558.0	709.0	1096.0	569.0	878.0	623.0	828.0	638.0	333.0	452.0	581.0	743.0	320.0	781.0	496.0	368.0	824.0	943.0	629.0	
193.0	424.0	374.0	723.0	510.0	535.0	824.0	228.0	401.0	900.0	526.0	888.0	724.0	974.0	950.0	153.0	381.0	855.0	473.0	541.0	647.0	661.0	136.0	543.0	838.0	727.0	555.0	429.0	434.0	632.0	949.0	416.0	1055.0	1089.0	178.0	738.0	
194.0	446.0	822.0	510.0	640.0	207.0	691.0	402.0	330.0	712.0	695.0	924.0	611.0	965.0	499.0	469.0	948.0	489.0	1028.0	825.0	1246.0	0.0	467.0	226.0	769.0	680.0	542.0	764.0	862.0	825.0	678.0	1046.0	928.0	402.0	629.0	869.0	
195.0	591.0	422.0	544.0	645.0	332.0	529.0	404.0	480.0	714.0	701.0	605.0	251.0	1020.0	992.0	750.0	693.0	352.0	726.0	1136.0	896.0	718.0	938.0	816.0	1009.0	737.0	673.0	957.0	446.0	667.0	365.0	927.0	540.0	493.0	269.0	711.0	
196.0	1085.0	612.0	300.0	490.0	994.0	631.0	293.0	405.0	662.0	241.0	583.0	1009.0	506.0	970.0	1351.0	78.0	571.0	606.0	726.0	609.0	1118.0	451.0	951.0	874.0	140.0	365.0	367.0	599.0	935.0	903.0	540.0	1144.0	358.0	529.0	637.0	
197.0	1061.0	401.0	126.0	500.0	483.0	141.0	887.0	500.0	714.0	837.0	881.0	861.0	1082.0	1030.0	615.0	517.0	409.0	507.0	548.0	1002.0	731.0	841.0	597.0	468.0	327.0	850.0	1151.0	180.0	697.0	494.0	552.0	740.0	673.0	852.0	479.0	
198.0	873.0	725.0	393.0	451.0	1049.0	623.0	420.0	477.0	564.0	519.0	1271.0	900.0	500.0	1169.0	521.0	568.0	592.0	890.0	814.0	704.0	1626.0	689.0	273.0	850.0	638.0	755.0	930.0	344.0	668.0	767.0	925.0	235.0	741.0	307.0	423.0	
199.0	524.0	404.0	854.0	1111.0	926.0	877.0	0.0	760.0	619.0	823.0	777.0	646.0	749.0	1115.0	705.0	393.0	1387.0	995.0	1397.0	1042.0	611.0	440.0	406.0	681.0	580.0	536.0	680.0	306.0	552.0	710.0	370.0	855.0	837.0	749.0	739.0	
200.0	637.0	518.0	381.0	1130.0	982.0	629.0	895.0	350.0	521.0	974.0	770.0	773.0	891.0	1013.0	260.0	193.0	143.0	392.0	992.0	628.0	811.0	251.0	383.0	652.0	302.0	1024.0	512.0	478.0	600.0	267.0	568.0	679.0	733.0	697.0	707.0	
201.0	552.0	968.0	592.0	751.0	744.0	545.0	494.0	966.0	999.0	677.0	977.0	1027.0	887.0	643.0	356.0	271.0	527.0	751.0	929.0	512.0	523.0	580.0	504.0	736.0	859.0	691.0	1082.0	351.0	589.0	1149.0	539.0	746.0	1128.0	290.0	694.0	
202.0	539.0	1061.0	757.0	445.0	1030.0	195.0	713.0	754.0	117.0	819.0	805.0	1109.0	772.0	1000.0	782.0	388.0	257.0	379.0	869.0	1006.0	950.0	726.0	649.0	322.0	445.0	603.0	783.0	445.0	629.0	919.0	859.0	642.0	1177.0	861.0	662.0	
203.0	921.0	396.0	367.0	371.0	1073.0	732.0	264.0	455.0	505.0	544.0	482.0	842.0	271.0	891.0	468.0	659.0	327.0	698.0	1057.0	966.0	342.0	625.0	150.0	660.0	839.0	816.0	594.0	632.0	442.0	509.0	352.0	911.0	780.0	660.0	697.0	
204.0	815.0	881.0	901.0	437.0	895.0	765.0	706.0	790.0	384.0	778.0	188.0	672.0	924.0	751.0	574.0	444.0	457.0	496.0	358.0	673.0	482.0	647.0	381.0	253.0	488.0	432.0	887.0	754.0	846.0	852.0	610.0	680.0	632.0	860.0	1147.0	
205.0	635.0	684.0	612.0	171.0	984.0	374.0	1071.0	594.0	633.0	1381.0	682.0	1287.0	910.0	677.0	877.0	940.0	749.0	267.0	495.0	542.0	668.0	389.0	534.0	766.0	585.0	411.0	646.0	823.0	796.0	779.0	928.0	764.0	494.0	634.0	1005.0	
206.0	321.0	896.0	461.0	458.0	751.0	848.0	562.0	830.0	857.0	155.0	554.0	802.0	659.0	838.0	831.0	341.0	142.0	214.0	772.0	768.0	825.0	326.0	584.0	346.0	990.0	262.0	551.0	783.0	961.0	806.0	277.0	665.0	870.0	694.0	510.0	
207.0	1013.0	573.0	136.0	222.0	1214.0	727.0	693.0	510.0	775.0	980.0	1057.0	912.0	836.0	1123.0	1041.0	802.0	376.0	849.0	1008.0	931.0	897.0	507.0	880.0	1250.0	441.0	716.0	682.0	563.0	703.0	1212.0	725.0	55.0	736.0	568.0	875.0	
208.0	811.0	989.0	750.0	730.0	919.0	627.0	288.0	371.0	231.0	736.0	528.0	587.0	1180.0	1092.0	707.0	668.0	669.0	434.0	950.0	938.0	1370.0	673.0	364.0	686.0	847.0	432.0	708.0	308.0	648.0	903.0	628.0	765.0	843.0	531.0	1076.0	
209.0	554.0	734.0	477.0	724.0	825.0	452.0	578.0	759.0	297.0	466.0	653.0	126.0	734.0	637.0	376.0	677.0	604.0	634.0	378.0	998.0	1061.0	451.0	601.0	946.0	712.0	657.0	766.0	615.0	808.0	688.0	480.0	701.0	457.0	1077.0	622.0	
210.0	901.0	653.0	282.0	635.0	1032.0	215.0	989.0	768.0	445.0	267.0	656.0	678.0	451.0	625.0	1153.0	629.0	1057.0	856.0	661.0	753.0	651.0	448.0	340.0	942.0	646.0	705.0	564.0	736.0	1062.0	694.0	991.0	709.0	474.0	541.0	1034.0	
211.0	370.0	509.0	593.0	811.0	1013.0	130.0	189.0	606.0	742.0	374.0	862.0	456.0	575.0	890.0	376.0	657.0	637.0	771.0	541.0	883.0	777.0	295.0	987.0	432.0	851.0	729.0	1205.0	748.0	209.0	518.0	783.0	527.0	962.0	624.0	874.0	
212.0	280.0	239.0	959.0	1185.0	727.0	1335.0	341.0	589.0	854.0	912.0	786.0	752.0	496.0	1081.0	542.0	689.0	589.0	969.0	978.0	817.0	848.0	236.0	616.0	456.0	555.0	769.0	931.0	227.0	388.0	777.0	474.0	851.0	536.0	484.0	338.0	
213.0	617.0	682.0	875.0	712.0	1233.0	636.0	122.0	491.0	712.0	419.0	933.0	1152.0	590.0	966.0	498.0	683.0	437.0	541.0	946.0	632.0	1142.0	662.0	775.0	406.0	808.0	724.0	885.0	685.0	642.0	706.0	228.0	948.0	918.0	421.0	798.0	
214.0	311.0	510.0	780.0	326.0	1305.0	894.0	25.0	659.0	755.0	668.0	1153.0	597.0	786.0	633.0	517.0	511.0	471.0	1008.0	425.0	1143.0	727.0	626.0	492.0	739.0	329.0	483.0	638.0	896.0	760.0	739.0	734.0	171.0	674.0	651.0	698.0	
215.0	854.0	491.0	590.0	974.0	726.0	735.0	968.0	519.0	536.0	518.0	1221.0	731.0	992.0	283.0	614.0	550.0	1112.0	624.0	361.0	789.0	822.0	387.0	645.0	517.0	895.0	615.0	842.0	546.0	538.0	850.0	874.0	489.0	197.0	728.0	1091.0	
216.0	628.0	896.0	1173.0	667.0	1102.0	512.0	416.0	271.0	752.0	707.0	1081.0	1003.0	902.0	1338.0	818.0	750.0	585.0	391.0	696.0	481.0	853.0	757.0	719.0	675.0	263.0	725.0	685.0	528.0	786.0	804.0	1208.0	328.0	879.0	592.0	587.0	
217.0	407.0	876.0	328.0	743.0	1208.0	241.0	630.0	229.0	818.0	926.0	536.0	843.0	602.0	535.0	554.0	609.0	828.0	350.0	697.0	660.0	775.0	749.0	854.0	497.0	435.0	495.0	694.0	978.0	618.0	406.0	747.0	1082.0	873.0	552.0	869.0	
218.0	565.0	828.0	703.0	935.0	1233.0	575.0	585.0	407.0	1158.0	702.0	553.0	782.0	1034.0	616.0	630.0	603.0	573.0	566.0	899.0	638.0	897.0	497.0	851.0	593.0	1000.0	570.0	766.0	417.0	622.0	550.0	335.0	890.0	539.0	830.0	482.0	
